Luke source,flag,fielding.start,fielding.end,pollster,source,interview.mode,publisher,publication.date,sample,DKrefused.reported,DKrefused.combined,DK.reported,DK,refused.reported,refused,Coalition.TPP.reported,Labor.TPP.reported,Coalition.TPP.previouselectionallocation,Labor.TPP.previouselectionallocation,Coalition.TPP.voterallocation,Labor.TPP.voterallocation,Coalition.total.primary,Liberal.primary,National.primary,Labor.primary,Green.primary,FamilyFirst.primary,Democrats.primary,OneNation.primary,XenophonCentreAlliance.primary,UAP.PUP.primary,KattersAustraliaParty.primary,Independent.primary,Other.primary,undecided.primary,sampleSize.published
,FALSE,20/4/09,26/4/09,Essential,http://blogs.crikey.com.au/pollbludger/files/2009/04/essential-report_280409.pdf,online,,,1090.5,,,,,,,42,58,,,,,36,34,2,48,8,2,0,0,,,,,6,,2181
,FALSE,28/4/09,3/5/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_040509.pdf,online,,,1000,,,,,,,43,57,,,,,37,34,3,47,8,2,0,0,,,,,6,,2000
,FALSE,4/5/09,10/5/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_110509.pdf,online,,,992,,,,,,,39,61,,,,,33,31,2,50,8,3,0,0,,,,,6,,1984
,FALSE,12/5/09,17/5/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_180509.pdf,online,,,946.5,,,,,,,38,62,,,,,32,30,2,52,8,3,0,0,,,,,5,,1893
,FALSE,19/5/09,24/5/09,Essential,http://blogs.crikey.com.au/pollytics/files/2009/05/essential-report_250508.pdf,online,,,941,,,,,,,41,59,,,,,35,33,2,49,8,3,0,0,,,,,5,,1882
,FALSE,26/5/09,31/5/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_010609.pdf,online,,,988.5,,,,,,,45,55,,,,,39,36,3,45,8,3,0,0,,,,,5,,1977
,FALSE,2/6/09,8/6/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_090609.pdf,online,,,955.5,,,,,,,44,56,,,,,39,37,2,47,7,2,0,0,,,,,5,,1911
,FALSE,9/6/09,14/6/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_150609.pdf,online,,,1049,,,,,,,43,57,,,,,38,36,2,48,8,3,0,0,,,,,3,,2098
,FALSE,17/6/09,21/6/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_220609.pdf,online,,,1087.5,,,,,,,43,57,,,,,37,35,2,47,8,3,0,0,,,,,5,,2175
,FALSE,22/6/09,28/6/09,Essential,http://blogs.crikey.com.au/pollytics/files/2009/06/essential-report_290609.pdf,online,,,1003,,,,,,,42,58,,,,,36,33,3,48,8,3,0,0,,,,,6,,2006
,FALSE,30/6/09,5/7/09,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_060709.pdf,online,,,971,,,,,,,41,59,,,,,35,32,3,49,9,3,0,0,,,,,5,,1942
