date,fielding.start,fielding.end,pollster,sample,LNP,ALP,GRN,OTH,PUP,KAP,NXT,LNP2PP,ALP2PP,Uncommitted,source,LNP.uncommitted.included,ALP.uncommitted.included,GRN.uncommitted.included,OTH.uncommitted.included,PUP.uncommitted.included,KAP.uncommitted.included,NXT.uncommitted.included
9/11/14,7/11/14,10/11/14,Essential,985.6,39,39,10,12,,,,47,53,,,,,,,,,
9/11/14,8/11/14,16/11/14,Morgan,3140,38,38.5,12,9,2.5,,,46,54,2.5,http://www.roymorgan.com/findings/5935-morgan-poll-federal-voting-intention-november-17-2014-201411170449,,,,,,,
15/11/14,14/11/14,16/11/14,Newspoll,1166,36,39,11,14,,,,45,55,8,Newspoll PDF,,,,,,,
16/11/14,14/11/14,17/11/14,Essential,959.2,41,38,10,11,,,,48,52,,,,,,,,,
20/11/14,20/11/14,20/11/14,ReachTEL,3617,40.3,38.6,11.1,6.8,3.1,,,47,53,,https://www.reachtel.com.au/blog/7-news-national-poll-20november2014,,,,,,,
23/11/14,21/11/14,24/11/14,Essential,960.3,40,40,10,10,,,,47,53,,,,,,,,,
23/11/14,22/11/14,30/11/14,Morgan,2883,39,37.5,12,9.5,2,,,46.5,53.5,2,http://www.roymorgan.com/findings/5963-morgan-poll-federal-voting-intention-december-1-2014-201412010821,,,,,,,
29/11/14,28/11/14,30/11/14,Newspoll,1164,37,37,13,13,,,,46,54,7,Newspoll PDF,,,,,,,
30/11/14,28/11/14,1/12/14,Essential,976.8,39,40,9,12,,,,47,53,,,,,,,,,
3/12/14,2/12/14,4/12/14,Galaxy MM,1406,38,41,11,10,,,,45,55,,,,,,,,,
5/12/14,4/12/14,4/12/14,Ipsos,1401,40,37,12,11,,,,48,52,,,,,,,,,
7/12/14,5/12/14,8/12/14,Essential,979,39,38,11,12,,,,47,53,,,,,,,,,
7/12/14,6/12/14,14/12/14,Morgan,3007,35,41,11.5,10.5,2,,,42.5,57.5,2.5,http://www.roymorgan.com/findings/5981-morgan-poll-federal-voting-intention-december-15-2014-201412150657,,,,,,,
13/12/14,12/12/14,14/12/14,Newspoll,1155,38,39,12,11,,,,46,54,7,Newspoll PDF,,,,,,,
14/12/14,12/12/14,15/12/14,Essential,992.2,40,38,10,12,,,,48,52,,,,,,,,,
4/1/15,3/1/15,11/1/15,Morgan,2622,38.5,38.5,9.5,11.5,2,,,45.5,54.5,3,http://www.roymorgan.com/findings/6012-morgan-poll-federal-voting-intention-january-12-2015-201501120525,,,,,,,
11/1/15,9/1/15,12/1/15,Essential,982.3,38,40,10,12,,,,46,54,,,,,,,,,
18/1/15,16/1/15,19/1/15,Essential,965.8,41,40,9,10,,,,48,52,,,,,,,,,
25/1/15,23/1/15,26/1/15,Essential,985.6,37,43,9,11,,,,45,55,,,,,,,,,
27/1/15,27/1/15,27/1/15,ReachTEL,3690,39.7,40.2,11.3,5.9,2.9,,,46,54,,https://www.reachtel.com.au/blog/7-news-national-poll-27january2015,,,,,,,
29/1/15,28/1/15,30/1/15,Galaxy MM,1452,36,43,11,10,,,,43,57,,,,,,,,,
30/1/15,29/1/15,31/1/15,Ipsos,1405,38,40,11,11,,,,46,54,,,,,,,,,
1/2/15,30/1/15,2/2/15,Essential,993.3,39,40,9,12,,,,47,53,,,,,,,,,
27/1/15,23/1/15,27/1/15,Morgan,2057,37.5,39.5,12,8,3,,,43.5,56.5,2.5,http://www.roymorgan.com/findings/6043-morgan-poll-federal-voting-intention-january-28-2015-201501280418,,,,,,,
1/2/15,31/1/15,8/2/15,Morgan,2939,35.5,41.5,12,9,2,,,42.5,57.5,2,http://www.roymorgan.com/findings/6061-morgan-poll-federal-voting-intention-february-9-2015-201502090645,,,,,,,
5/2/15,4/2/15,5/2/15,Galaxy MM,1466,36,43,11,10,,,,43,57,,,,,,,,,
5/2/15,5/2/15,5/2/15,ReachTEL,3502,38.4,41.4,11.2,6.2,2.7,,,45,55,,https://www.reachtel.com.au/blog/7-news-national-poll-5february2015,,,,,,,
7/2/15,6/2/15,8/2/15,Newspoll,1178,35,41,12,12,,,,43,57,6,Newspoll PDF,,,,,,,
8/2/15,6/2/15,9/2/15,Essential,964.7,39,41,10,10,,,,46,54,,,,,,,,,
15/2/15,13/2/15,16/2/15,Essential,1010.9,39,40,10,11,,,,47,53,,,,,,,,,
15/2/15,14/2/15,22/2/15,Morgan,2639,37.5,40.5,10,10,2,,,44,56,2.5,http://www.roymorgan.com/findings/6085-morgan-poll-federal-voting-intention-february-24-2015-201502240630,,,,,,,
21/2/15,20/2/15,22/2/15,Newspoll,1180,38,38,12,12,,,,47,53,6,Newspoll PDF,,,,,,,
22/2/15,20/2/15,23/2/15,Essential,1008.7,41,41,8,10,,,,48,52,,,,,,,,,
27/2/15,26/2/15,28/2/15,Ipsos,1406,42,36,12,10,,,,49,51,,,,,,,,,
1/3/15,27/2/15,2/3/15,Essential,993.3,38,41,10,11,,,,45,55,,,,,,,,,
1/3/15,28/2/15,8/3/15,Morgan,3182,39,38,11.5,9.5,2,,,46.5,53.5,2.5,http://www.roymorgan.com/findings/6111-morgan-poll-federal-voting-intention-march-10-2015-201503100615,,,,,,,
7/3/15,6/3/15,8/3/15,Newspoll,1161,38,39,12,11,,,,45,55,8,Newspoll PDF,,,,,,,
8/3/15,6/3/15,9/3/15,Essential,983.4,41,39,9,11,,,,49,51,,,,,,,,,
15/3/15,13/3/15,16/3/15,Essential,982.3,40,40,10,10,,,,47,53,,,,,,,,,
15/3/15,14/3/15,22/3/15,Morgan,3146,38,40,11,9.5,1.5,,,44,56,2,http://www.roymorgan.com/findings/6138-morgan-poll-federal-voting-intention-march-23-2015-201503230703,,,,,,,
21/3/15,20/3/15,22/3/15,Newspoll,1148,41,37,11,11,,,,49,51,9,Newspoll PDF,,,,,,,
22/3/15,20/3/15,23/3/15,Essential,977.9,39,41,10,10,,,,46,54,,,,,,,,,
29/3/15,27/3/15,30/3/15,Essential,986.7,40,39,10,11,,,,48,52,,,,,,,,,
29/3/15,28/3/15,6/4/15,Morgan,3063,40.5,36,12.5,8,1.5,1.5,,47,53,2,http://www.roymorgan.com/findings/6165-morgan-poll-federal-voting-intention-april-7-2015-201504070630,,,,,,,
29/3/15,29/3/15,29/3/15,ReachTEL,2417,39.6,40.5,11.5,6.3,2.2,,,46,54,,https://www.reachtel.com.au/blog/7-news-national-poll-29march2015,,,,,,,
5/4/15,3/4/15,6/4/15,Essential,986.7,40,39,10,11,,,,47,53,,,,,,,,,
10/4/15,9/4/15,11/4/15,Ipsos,1404,39,38,13,10,,,,46,54,,,,,,,,,
11/4/15,10/4/15,12/4/15,Newspoll,1172,41,36,11,12,,,,49,51,6,Newspoll PDF,,,,,,,
12/4/15,10/4/15,13/4/15,Essential,987.8,41,39,10,10,,,,47,53,,,,,,,,,
12/4/15,11/4/15,19/4/15,Morgan,3314,38.5,38,12,9,1,1.5,,47,53,2,http://www.roymorgan.com/findings/6185-morgan-poll-federal-voting-intention-april-20-2015-201504200648,,,,,,,
19/4/15,17/4/15,20/4/15,Essential,981.2,40,38,12,10,,,,47,53,,,,,,,,,
